73|EG.731 Tolinchilove|http://www.electronicgroove.com/Podcast/eg731.mp3|EG.731 Tolinchilove|2019.04.15-00:00:00|True|eg731.mp3|88289841|11
74|El Primer Palo (04/07/19): K2|http://audios.esradio.fm/deportes/19/07/04/el-primer-palo-04-07-19-k2-138370.mp3?aw_0_req.gdpr=false|Estamos de enhorabuena. K2 ha recibido el Premio Cuentamontes de Radio del ayuntamiento de Elda y Petrer.|2019.07.04-23:46:12|False||17127304|42
75|#662 Deeper Shades of House|http://feeds.deepershades.net/~r/dsoh/~5/NQTMCSvLCU8/dsoh662I_LB.mp3|DEEPER SHADES OF HOUSE #662 Podcast<br>
  compiled and mixed by Lars Behrenroth<br>
<br>
For full playlist, please visit|2019.06.28-12:00:00|True|dsoh662I_LB.mp3|72069382|12
76|#661 Deeper Shades of House|http://feeds.deepershades.net/~r/dsoh/~5/bFUF9RggAtw/dsoh661I_LB.mp3|DEEPER SHADES OF HOUSE #661 Podcast<br>
  compiled and mixed by Lars Behrenroth<br>
<br>
For full playlist, please visit|2019.06.21-12:00:00|False||72068657|12
77|Big Thief - Cattails|https://dts.podtrac.com/redirect.mp3/dovetail.prxu.org/song-exploder/96535ad9-2194-4607-8e63-af6d4852f6c4/Big_Thief_Cattails.mp3|Big Thief is a four piece folk-rock band from Brooklyn, New York. In May 2019, they released their third alb|2019.06.26-17:00:00|False||24482099|24
78|Perú campeón|https://play.podtrac.com/npr-510315/edge1.pod.npr.org/anon.npr-mp3/npr/ambul/2018/06/20180612_ambul_peru.mp3?awCollectionId=510315&awEpisodeId=618932876&orgId=1&d=2020&p=510315&story=618932876&t=podcast&e=618932876&ft=pod&f=510315|Después de 36 años, Perú volvió a clasificar al Mundial de Fútbol. El camino estuvo lleno de empates a último minuto, re|2018.06.12-06:00:48|False||0|46
79|CRC Retro Mix 51|https://djtintinretro.podomatic.com/enclosure/2018-07-29T12_04_36-07_00.mp3||2018.07.29-12:04:00|True|2018-07-29T12_04_36-07_00.mp3||13
80|EG.730 Puma|http://www.electronicgroove.com/Podcast/eg730.mp3|EG.730 Puma|2019.04.08-00:00:00|False||600000|11
81|EG.729 Sabo|http://www.electronicgroove.com/Podcast/eg729.mp3|EG.729 Sabo|2019.04.01-00:00:00|False||600000|11
82|EG.728 Hernan Cattaneo|http://www.electronicgroove.com/Podcast/eg728.mp3|EG.728 Hernan Cattaneo|2019.03.25-00:00:00|True|eg728.mp3|131057990|11
83|EG.727 Modeplex|http://www.electronicgroove.com/Podcast/eg727.mp3|EG.727 Modeplex|2019.03.18-00:00:00|False||600000|11
84|EG.726 David Jach|http://www.electronicgroove.com/Podcast/eg726.mp3|EG.726 David Jach|2019.03.11-00:00:00|False||600000|11
85|MBW 668: iPhone OG|https://media.blubrry.com/macbreak_weekly_mp3/www.podtrac.com/pts/redirect.mp3/cdn.twit.tv/audio/mbw/mbw0668/mbw0668.mp3||2019.07.02-15:36:44|True|mbw0668.mp3|60121131|16
86|EG.725 Cid Inc|http://www.electronicgroove.com/Podcast/eg725.mp3|EG.725 Cid Inc|2019.03.04-00:00:00|False||600000|11
87|EG.724 Felipe Callado|http://www.electronicgroove.com/Podcast/eg724.mp3|EG.724 Felipe Callado|2019.02.25-00:00:00|False||600000|11
88|EG.723 Giorgia Angiuli|http://www.electronicgroove.com/Podcast/eg723.mp3|EG.723 Giorgia Angiuli|2019.02.18-00:00:00|False||600000|11
89|EG.722 Audiojack|http://www.electronicgroove.com/Podcast/eg722.mp3|EG.722 Audiojack|2019.02.11-00:00:00|False||600000|11
90|EG.721 Moonbootica|http://www.electronicgroove.com/Podcast/eg721.mp3|EG.721 Moonbootica|2019.02.04-00:00:00|False||600000|11
91|EG.720 Marcus Meinhardt|http://www.electronicgroove.com/Podcast/eg720.mp3|EG.720 Marcus Meinhardt|2019.01.28-00:00:00|False||600000|11
92|EG.719 Jonas Saalbache|http://www.electronicgroove.com/Podcast/eg719.mp3|EG.719 Jonas Saalbach|2019.01.21-00:00:00|False||600000|11
93|EG.718 Milo Hafligerme|http://www.electronicgroove.com/Podcast/eg718.mp3|EG.718 Milo Hafligerme|2019.01.14-00:00:00|False||600000|11
94|EG.717 Nii Tei|http://www.electronicgroove.com/Podcast/eg717.mp3|EG.717 Nii Tei|2019.01.07-00:00:00|False||600000|11
95|EG.716 Jeremy Olander|http://www.electronicgroove.com/Podcast/eg716.mp3|EG.716 Jeremy Olander|2019.01.01-00:00:00|False||600000|11
